name,artist_to,popularity
Lil Tjay,YK Osiris,91
Lil Tjay,Lil Durk,91
Lil Tjay,2KBABY,91
Polo G,The Kid LAROI,91
Polo G,Quando Rondo,91
Polo G,Trippie Redd,91
Polo G,YNW Melly,91
Polo G,Lil Tecca,91
Polo G,Lil Mosey,91
Polo G,Ski Mask The Slump God,91
Polo G,Internet Money,91
Polo G,NAV,91
Polo G,Tee Grizzley,91
Polo G,Roddy Ricch,91
Polo G,DJ Scheme,91
Polo G,Lil Uzi Vert,91
Polo G,Comethazine,91
Polo G,Flipp Dinero,91
Polo G,YoungBoy Never Broke Again,91
Polo G,Fivio Foreign,91
Polo G,42 Dugg,91
Polo G,Moneybagg Yo,91
Polo G,Gunna,91
Giveon,Leven Kali,91
Giveon,Brent Faiyaz,91
Giveon,dvsn,91
Giveon,Xavier Omär,91
Giveon,Snoh Aalegra,91
Giveon,Mac Ayres,91
Giveon,SiR,91
Giveon,PARTYNEXTDOOR,91
Giveon,Sonder,91
Giveon,Lucky Daye,91
Giveon,Kaash Paige,91
Giveon,Sabrina Claudio,91
Giveon,Paperboy Fabe,91
Giveon,Dylan Sinclair,91
Giveon,UMI,91
Giveon,Arin Ray,91
Giveon,Ryan Trey,91
Giveon,Ari Lennox,91
Giveon,Summer Walker,91
Giveon,Kiana Ledé,91
Future,Young Thug,91
Future,2 Chainz,91
Future,Chief Keef,91
Future,Meek Mill,91
Future,Yo Gotti,91
Future,French Montana,91
Future,NAV,91
Future,Gucci Mane,91
Future,Young Dolph,91
Future,Metro Boomin,91
Future,Kodak Black,91
Future,Lil Yachty,91
Future,Waka Flocka Flame,91
Future,Gunna,91
Future,Lil Durk,91
Future,21 Savage,91
Future,Migos,91
Future,Juicy J,91
Future,A$AP Mob,91
Future,Rick Ross,91
Farruko,De La Ghetto,91
Farruko,J Alvarez,91
Farruko,Ñejo,91
Farruko,Cosculluela,91
Farruko,Zion & Lennox,91
Farruko,Tony Dize,91
Farruko,Wisin,91
Farruko,Jowell & Randy,91
Farruko,Trebol Clan,91
Farruko,Arcangel,91
Farruko,Alexis y Fido,91
Farruko,Baby Rasta & Gringo,91
Farruko,Nicky Jam,91
Farruko,Tego Calderon,91
Farruko,Zion,91
Farruko,Yandel,91
Farruko,DJ Nelson,91
Farruko,Jadiel,91
Farruko,"Tito ""El Bambino""",91
Farruko,Nova y Jory,91
Doja Cat,Qveen Herby,91
Doja Cat,Kali Uchis,91
Doja Cat,Chloe x Halle,91
Doja Cat,Jorja Smith,91
Doja Cat,Kehlani,91
Doja Cat,Kiana Ledé,91
Doja Cat,Alina Baraz,91
Doja Cat,Jessie Reyez,91
Doja Cat,SZA,91
Doja Cat,Tinashe,91
Doja Cat,Rina Sawayama,91
Doja Cat,Sabrina Claudio,91
Doja Cat,WILLOW,91
Doja Cat,Victoria Monét,91
Doja Cat,H.E.R.,91
Doja Cat,Bhad Bhabie,91
Doja Cat,Kim Petras,91
Doja Cat,Rico Nasty,91
Doja Cat,Ashnikko,91
Doja Cat,Iggy Azalea,91
Lil Uzi Vert,Lil Yachty,91
Lil Uzi Vert,Young Nudy,91
Lil Uzi Vert,Gunna,91
Lil Uzi Vert,Pi’erre Bourne,91
Lil Uzi Vert,Don Toliver,91
Lil Uzi Vert,SahBabii,91
Lil Uzi Vert,Kodak Black,91
Lil Uzi Vert,Playboi Carti,91
Lil Uzi Vert,Metro Boomin,91
Lil Uzi Vert,Lil Keed,91
Lil Uzi Vert,Comethazine,91
Lil Uzi Vert,NAV,91
Lil Uzi Vert,Yung Bans,91
Lil Uzi Vert,Young Thug,91
Lil Uzi Vert,Trippie Redd,91
Lil Uzi Vert,UnoTheActivist,91
Lil Uzi Vert,Migos,91
Lil Uzi Vert,Tay-K,91
Lil Uzi Vert,Sheck Wes,91
Lil Uzi Vert,Blueface,91
Daddy Yankee,Alexis y Fido,91
Daddy Yankee,De La Ghetto,91
Daddy Yankee,Tony Dize,91
Daddy Yankee,Nicky Jam,91
Daddy Yankee,Zion & Lennox,91
Daddy Yankee,Wisin,91
Daddy Yankee,"Tito ""El Bambino""",91
Daddy Yankee,Jowell & Randy,91
Daddy Yankee,Tego Calderon,91
Daddy Yankee,Luny Tunes,91
Daddy Yankee,Ivy Queen,91
Daddy Yankee,Trebol Clan,91
Daddy Yankee,Arcangel,91
Daddy Yankee,Don Omar,91
Daddy Yankee,Ñejo,91
Daddy Yankee,Wisin & Yandel,91
Daddy Yankee,Yandel,91
Daddy Yankee,Farruko,91
Daddy Yankee,Baby Rasta & Gringo,91
Daddy Yankee,Zion,91
Nicki Minaj,Kash Doll,90
Nicki Minaj,Iggy Azalea,90
Nicki Minaj,Kehlani,90
Nicki Minaj,Ciara,90
Nicki Minaj,Bhad Bhabie,90
Nicki Minaj,Azealia Banks,90
Nicki Minaj,Tinashe,90
Nicki Minaj,Fergie,90
Nicki Minaj,Cardi B,90
Nicki Minaj,Chloe x Halle,90
Nicki Minaj,Teyana Taylor,90
Nicki Minaj,Victoria Monét,90
Nicki Minaj,Stefflon Don,90
Nicki Minaj,Pia Mia,90
Nicki Minaj,Jeremih,90
Nicki Minaj,Trey Songz,90
Nicki Minaj,City Girls,90
Nicki Minaj,Ella Mai,90
Nicki Minaj,Kelly Rowland,90
Nicki Minaj,Megan Thee Stallion,90
Chris Brown,Trey Songz,90
Chris Brown,Jeremih,90
Chris Brown,Mario,90
Chris Brown,Omarion,90
Chris Brown,Lloyd,90
Chris Brown,Ne-Yo,90
Chris Brown,T-Pain,90
Chris Brown,Usher,90
Chris Brown,The-Dream,90
Chris Brown,August Alsina,90
Chris Brown,Pretty Ricky,90
Chris Brown,Bow Wow,90
Chris Brown,Jay Sean,90
Chris Brown,Keyshia Cole,90
Chris Brown,Jacquees,90
Chris Brown,Ciara,90
Chris Brown,Eric Bellinger,90
Chris Brown,Kid Ink,90
Chris Brown,Wale,90
Chris Brown,Tory Lanez,90
One Direction,Louis Tomlinson,90
One Direction,Big Time Rush,90
One Direction,The Wanted,90
One Direction,Selena Gomez & The Scene,90
One Direction,Jonas Brothers,90
One Direction,ZAYN,90
One Direction,Little Mix,90
One Direction,Bridgit Mendler,90
One Direction,5 Seconds of Summer,90
One Direction,Olly Murs,90
One Direction,Niall Horan,90
One Direction,Demi Lovato,90
One Direction,Cody Simpson,90
One Direction,Cher Lloyd,90
One Direction,Victorious Cast,90
One Direction,The Vamps,90
One Direction,Hannah Montana,90
One Direction,Liam Payne,90
One Direction,Fifth Harmony,90
One Direction,Nick Jonas,90
Die drei ???,Die drei ??? Kids,90
Die drei ???,TKKG,90
Die drei ???,Bibi und Tina,90
Die drei ???,Benjamin Blümchen,90
Die drei ???,Bibi Blocksberg,90
Die drei ???,Kleine Hexe Klavi-Klack,90
Die drei ???,Kati & Azuro,90
Die drei ???,Conni,90
Die drei ???,Weihnachtsmann & Co.KG,90
Die drei ???,Astrid Lindgren,90
Die drei ???,Die drei @@@ (Die drei Klammeraffen),90
Die drei ???,Hans Christian Andersen,90
Die drei ???,SimsalaGrimm,90
Die drei ???,Hexe Lilli,90
Die drei ???,Abenteuerserie,90
Die drei ???,Thomas & seine Freunde,90
Die drei ???,Kinderlieder Loulou und Lou,90
Die drei ???,Daniel Napp,90
Die drei ???,Bob der Baumeister,90
Die drei ???,Meine Freundin Conni,90
The Kid LAROI,Internet Money,90
The Kid LAROI,Polo G,90
The Kid LAROI,Lil Tecca,90
The Kid LAROI,DJ Scheme,90
The Kid LAROI,Yung Pinch,90
The Kid LAROI,Lil Mosey,90
The Kid LAROI,Landon Cube,90
The Kid LAROI,Ski Mask The Slump God,90
The Kid LAROI,Trippie Redd,90
The Kid LAROI,YNW Melly,90
The Kid LAROI,iann dior,90
The Kid LAROI,Bankrol Hayden,90
The Kid LAROI,Lil Skies,90
The Kid LAROI,Tyla Yaweh,90
The Kid LAROI,Arizona Zervas,90
The Kid LAROI,Cordae,90
The Kid LAROI,TOKYO’S REVENGE,90
The Kid LAROI,NAV,90
The Kid LAROI,2KBABY,90
The Kid LAROI,$NOT,90
Cardi B,Bhad Bhabie,90
Cardi B,Kash Doll,90
Cardi B,Megan Thee Stallion,90
Cardi B,Qveen Herby,90
Cardi B,City Girls,90
Cardi B,Stefflon Don,90
Cardi B,Nicki Minaj,90
Cardi B,Tinashe,90
Cardi B,Iggy Azalea,90
Cardi B,Lizzo,90
